# name,mass,radius,orbital_period,temp_calculated,star_name,star_distance,star_metallicity,star_mass,star_radius,star_age,star_teff,log_g
Kepler-110 b,,0.163,12.691112,,Kepler-110,596.52,-0.151,,1.15,,5960,
Kepler-110 c,,0.197,31.719775,,Kepler-110,596.52,-0.151,,1.15,,5960,
Kepler-1100 b,,0.156,6.42200058,,Kepler-1100,940,0.05,1.21,1.34,2.69,6247,
Kepler-1101 b,,0.22,81.3151059,,Kepler-1101,897,-0.04,0.94,0.91,4.27,5614,
Kepler-1102 b,,0.237,51.3285623,,Kepler-1102,986,-0.08,0.96,0.94,4.37,5724,
Kepler-1103 b,,0.203,19.79191978,,Kepler-1103,921,-0.01,1.11,1.15,3.31,6092,
Kepler-1104 b,,0.11,5.03728015,,Kepler-1104,516,0.13,1.3,1.41,2.04,6417,
Kepler-1105 b,,0.179,4.42157218,,Kepler-1105,369,0.28,0.71,0.68,8.71,4299,
Kepler-1106 b,,0.147,1.25275217,,Kepler-1106,1168,0,1.11,1.17,3.09,6104,
Kepler-1107 b,,0.12,0.57103852,,Kepler-1107,457,0.01,0.86,0.82,4.47,5268,
Kepler-1108 b,,0.13,4.51005748,,Kepler-1108,764,-0.09,0.88,0.84,4.17,5406,
Kepler-1109 b,,0.195,37.6467384,,Kepler-1109,797,0.04,1.05,1.06,3.8,5893,
Kepler-111 b,,0.141,3.341815,,Kepler-111,669.92,0.005,,1.16,,5952,
Kepler-111 c,,0.651,224.784608,,Kepler-111,669.92,0.005,,1.16,,5952,
Kepler-1110 b,,0.237,9.69312032,,Kepler-1110,726,-0.16,0.73,0.7,4.79,4781,
Kepler-1111 b,,0.178,8.79617863,,Kepler-1111,1142,0.02,1.1,1.15,3.16,6077,
Kepler-1112 b,,0.269,14.36267939,,Kepler-1112,1734,0.04,1.34,1.54,2.09,6496,
Kepler-1113 b,,0.251,42.3004954,,Kepler-1113,1127,0.18,1.12,1.17,3.55,5931,
Kepler-1114 b,,0.12,14.97435694,,Kepler-1114,427,-0.08,0.87,0.83,4.27,5374,
Kepler-1115 b,,0.152,23.5540725,,Kepler-1115,935,-0.51,1.6,1.73,1.12,8480,
Kepler-1116 b,,0.227,41.6977827,,Kepler-1116,1017,0.01,0.95,0.93,4.9,5641,
Kepler-1117 b,,0.099,4.79028459,,Kepler-1117,619,0.03,0.95,0.93,4.27,5612,
Kepler-1118 b,,0.244,38.6715075,,Kepler-1118,818,0,0.96,0.97,4.07,5688,
Kepler-1119 b,,0.171,8.3265153,,Kepler-1119,1288,0.03,1.11,1.17,3.09,6083,
Kepler-112 b,,0.211,8.408878,,Kepler-112,520.9,-0.588,,0.84,,5544,
Kepler-112 c,,0.214,28.574263,,Kepler-112,520.9,-0.588,,0.84,,5544,
Kepler-1120 b,,0.123,2.94902905,,Kepler-1120,635,-0.04,0.78,0.74,4.68,4904,
Kepler-1121 b,,0.17,13.15141081,,Kepler-1121,529,0.12,1.29,1.59,3.02,6231,
Kepler-1122 b,,0.182,42.1917357,,Kepler-1122,924,-0.03,0.92,0.89,4.68,5544,
Kepler-1123 b,,0.149,4.33946454,,Kepler-1123,796,0.05,0.93,0.9,5.13,5500,
Kepler-1124 b,,0.114,2.85234897,,Kepler-1124,177,-0.59,0.35,0.34,3.39,3658,
Kepler-1125 b,,0.164,17.6700642,,Kepler-1125,910,-0.09,0.95,0.94,4.17,5683,
Kepler-1126 b,,0.154,108.593329,,Kepler-1126,668,-0.26,0.92,0.93,5.5,5798,
Kepler-1127 b,,0.175,5.12330347,,Kepler-1127,996,0.04,0.97,0.95,4.37,5664,
Kepler-1128 b,,0.326,61.6178167,,Kepler-1128,1163,0.04,0.94,0.91,4.57,5543,
Kepler-1129 b,,0.264,24.3397804,,Kepler-1129,1258,-0.04,1,1,4.07,5831,
Kepler-1129 c,,0.244,76.5369586,,Kepler-1129,1258,-0.04,1,1,4.07,5831,
Kepler-113 b,0.037,0.162,4.754,,Kepler-113,264.35,0.05,0.75,0.69,6.89,4725,
Kepler-113 c,0.02737,0.194,8.92507,,Kepler-113,264.35,0.05,0.75,0.69,6.89,4725,
Kepler-1130 b,,0.071,5.45298175,,Kepler-1130,234,-0.06,0.9,0.81,1.58,5403,
Kepler-1131 b,,0.142,3.53232449,,Kepler-1131,1109,0.05,1.03,1.04,4.17,5851,
Kepler-1132 b,,0.21,62.8916228,,Kepler-1132,940,-0.01,0.87,0.83,4.57,5298,
Kepler-1133 b,,0.176,11.55562343,,Kepler-1133,821,-0.02,0.93,0.9,4.07,5569,
Kepler-1134 b,,0.236,17.13263989,,Kepler-1134,997,-0.1,0.84,0.81,4.9,5281,
Kepler-1135 b,,0.165,76.957857,,Kepler-1135,728,0.02,0.96,0.94,4.47,5656,
Kepler-1136 b,,0.146,2.36172433,,Kepler-1136,545,0.03,0.72,0.68,3.24,4512,
Kepler-1137 b,,0.196,23.9210791,,Kepler-1137,971,0.05,1.5,1.84,1.58,6807,
Kepler-1138 b,,0.152,3.17060005,,Kepler-1138,1101,0.04,0.95,0.92,4.37,5582,
Kepler-1139 b,,0.106,0.81316672,,Kepler-1139,555,0.05,0.94,0.91,4.47,5550,
Kepler-114 b,0.022,0.112,5.188549,722,Kepler-114,261.49,-0.003,0.71,0.67,,4605,
Kepler-114 c,0.009,0.143,8.041,623,Kepler-114,261.49,-0.003,0.71,0.67,,4605,
Kepler-114 d,0.012,0.226,11.776,549,Kepler-114,261.49,-0.003,0.71,0.67,,4605,
Kepler-1140 b,,0.247,24.0862707,,Kepler-1140,657,-0.08,0.76,0.73,5.01,4850,
Kepler-1141 b,,0.073,2.34451194,,Kepler-1141,365,0.04,1.01,1.07,6.17,5791,
Kepler-1142 b,,0.131,18.3027248,,Kepler-1142,697,0.02,0.97,0.96,5.37,5685,
